,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
19,19,19,19,19,19,19,19.0,20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
20,20,20,20,20,20,20,20.0,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
21,21,21,21,21,21,21,22.0,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
22,22,22,22,22,22,22,23.0,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
23,23,23,23,23,23,23,24.0,25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
24,24,24,24,24,24,24,25.0,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
25,25,25,25,25,25,25,26.0,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
26,26,26,26,26,26,26,27.0,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
27,27,27,27,27,27,27,28.0,29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
28,28,28,28,28,28,28,29.0,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
29,29,29,29,29,29,29,30.0,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
30,30,30,30,30,30,30,31.0,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
31,31,31,31,31,31,31,32.0,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
32,32,32,32,32,32,32,34.0,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
33,33,33,33,33,33,33,35.0,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
34,34,34,34,34,34,34,37.0,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
35,35,35,35,35,35,35,38.0,39,Trinidad and Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
36,36,36,36,36,36,36,39.0,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
37,37,37,37,37,37,37,40.0,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
38,38,38,38,38,38,38,41.0,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
39,39,39,39,39,39,39,42.0,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
40,40,40,40,40,40,40,43.0,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
41,41,41,41,41,41,41,44.0,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
42,42,42,42,42,42,42,45.0,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
43,43,43,43,43,43,43,46.0,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
44,44,44,44,44,44,44,47.0,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
45,45,45,45,45,45,45,48.0,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
46,46,46,46,46,46,46,49.0,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
47,47,47,47,47,47,47,50.0,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
48,48,48,48,48,48,48,51.0,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
49,49,49,49,49,49,49,52.0,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
50,50,50,50,50,50,50,53.0,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
51,51,51,51,51,51,51,54.0,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
52,52,52,52,52,52,52,55.0,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
53,53,53,53,53,53,53,57.0,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
54,54,54,54,54,54,54,58.0,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
55,55,55,55,55,55,55,59.0,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
56,56,56,56,56,56,56,60.0,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
57,57,57,57,57,57,57,61.0,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
58,58,58,58,58,58,58,62.0,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
59,59,59,59,59,59,59,63.0,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
60,60,60,60,60,60,60,64.0,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
61,61,61,61,61,61,61,65.0,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
62,62,62,62,62,62,62,66.0,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
63,63,63,63,63,63,63,67.0,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
64,64,64,64,64,64,64,68.0,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
65,65,65,65,65,65,65,69.0,70,Republic of Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
66,66,66,66,66,66,66,70.0,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
67,67,67,67,67,67,67,71.0,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
68,68,68,68,68,68,68,72.0,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
69,69,69,69,69,69,69,73.0,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
70,70,70,70,70,70,70,74.0,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
71,71,71,71,71,71,71,76.0,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
72,72,72,72,72,72,72,77.0,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
73,73,73,73,73,73,73,78.0,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
74,74,74,74,74,74,74,79.0,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
75,75,75,75,75,75,75,80.0,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
76,76,76,76,76,76,76,81.0,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
77,77,77,77,77,77,77,82.0,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
78,78,78,78,78,78,78,83.0,84,Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
79,79,79,79,79,79,79,84.0,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
80,80,80,80,80,80,80,85.0,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
81,81,81,81,81,81,81,86.0,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
82,82,82,82,82,82,82,87.0,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
83,83,83,83,83,83,83,88.0,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
84,84,84,84,84,84,84,89.0,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
85,85,85,85,85,85,85,90.0,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
86,86,86,86,86,86,86,91.0,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
87,87,87,87,87,87,87,92.0,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
88,88,88,88,88,88,88,93.0,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
89,89,89,89,89,89,89,94.0,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
90,90,90,90,90,90,90,95.0,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
91,91,91,91,91,91,91,96.0,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
92,92,92,92,92,92,92,97.0,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
93,93,93,93,93,93,93,98.0,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
94,94,94,94,94,94,94,99.0,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
95,95,95,95,95,95,95,100.0,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
96,96,96,96,96,96,96,101.0,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
97,97,97,97,97,97,97,102.0,103,Republic of the Congo,4.812,0.673,0.799,0.508,0.372,0.105,0.093
98,98,98,98,98,98,98,103.0,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
99,99,99,99,99,99,99,104.0,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
100,100,100,100,100,100,100,105.0,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
101,101,101,101,101,101,101,106.0,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
102,102,102,102,102,102,102,107.0,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
103,103,103,103,103,103,103,108.0,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
104,104,104,104,104,104,104,110.0,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
105,105,105,105,105,105,105,111.0,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
106,106,106,106,106,106,106,112.0,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
107,107,107,107,107,107,107,113.0,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
108,108,108,108,108,108,108,114.0,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
109,109,109,109,109,109,109,115.0,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
110,110,110,110,110,110,110,116.0,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
111,111,111,111,111,111,111,117.0,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
112,112,112,112,112,112,112,118.0,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
113,113,113,113,113,113,113,119.0,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
114,114,114,114,114,114,114,120.0,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
115,115,115,115,115,115,115,121.0,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
116,116,116,116,116,116,116,122.0,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
117,117,117,117,117,117,117,123.0,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
118,118,118,118,118,118,118,124.0,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
119,119,119,119,119,119,119,125.0,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
120,120,120,120,120,120,120,126.0,127,Democratic Republic of the Congo,4.418,0.094,1.125,0.357,0.269,0.212,0.053
121,121,121,121,121,121,121,127.0,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
122,122,122,122,122,122,122,128.0,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
123,123,123,123,123,123,123,129.0,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
124,124,124,124,124,124,124,130.0,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
125,125,125,125,125,125,125,131.0,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
126,126,126,126,126,126,126,132.0,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
127,127,127,127,127,127,127,133.0,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
128,128,128,128,128,128,128,134.0,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
129,129,129,129,129,129,129,135.0,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
130,130,130,130,130,130,130,136.0,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
131,131,131,131,131,131,131,137.0,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
132,132,132,132,132,132,132,138.0,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
133,133,133,133,133,133,133,139.0,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
134,134,134,134,134,134,134,140.0,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
135,135,135,135,135,135,135,142.0,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
136,136,136,136,136,136,136,143.0,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
137,137,137,137,137,137,137,144.0,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
138,138,138,138,138,138,138,145.0,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
139,139,139,139,139,139,139,146.0,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
140,140,140,140,140,140,140,147.0,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
141,141,141,141,141,141,141,148.0,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
142,142,142,142,142,142,142,149.0,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
143,143,143,143,143,143,143,150.0,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
144,144,144,144,144,144,144,151.0,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
145,145,145,145,145,145,145,152.0,153,United Republic of Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
146,146,146,146,146,146,146,153.0,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
147,147,147,147,147,147,147,154.0,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
148,148,148,148,148,148,148,155.0,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
149,149,149,149,149,149,0,,0,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,150,150,150,150,150,0,,0,Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,151,151,151,151,151,0,,0,French Southern and Antarctic Lands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,152,152,152,152,152,0,,0,The Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,153,153,153,153,153,0,,0,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,154,154,154,154,154,0,,0,Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,155,155,155,155,155,0,,0,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,156,156,156,156,156,0,,0,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,157,157,157,157,157,0,,0,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,158,158,158,158,158,0,,0,Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,159,159,159,159,159,0,,0,Falkland Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,160,160,160,160,160,0,,0,Guinea Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,161,161,161,161,161,0,,0,Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,162,162,162,162,162,0,,0,Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,163,163,163,163,0,,0,Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,164,164,164,164,164,0,,0,New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,165,165,165,165,165,0,,0,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,166,166,166,166,166,0,,0,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,167,167,167,167,167,0,,0,Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,168,168,168,168,168,0,,0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,169,169,169,169,169,0,,0,Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,170,170,170,170,170,0,,0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,171,171,171,171,171,0,,0,Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,172,172,172,172,172,0,,0,Somaliland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,173,173,173,173,173,0,,0,Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,174,174,174,174,0,,0,East Timor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175,175,175,175,175,0,,0,Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,176,176,176,176,176,0,,0,West Bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0
